--- SUMMARY ---
2210 cases | mean|err|=5.502e-01 | max|err|=1.113e+01 | 107.17s

Cases with |err| > 0.1: 279
 273 |   3.514719 | 27  bootybay.map    512     512     207     342     289     411     110.58073578
 274 |   4.100505 | 27  bootybay.map    512     512     153     348     239     402     108.36753235
 276 |   2.928932 | 27  bootybay.map    512     512     319     310     377     364     108.87005768
 285 |   1.171573 | 28  bootybay.map    512     512     427     393     365     318     115.32590179
 289 |   1.171573 | 28  bootybay.map    512     512     154     330     78      386     114.42640686
 291 |   4.686292 | 29  bootybay.map    512     512     355     346     445     335     116.88225098
 292 |   7.615224 | 29  bootybay.map    512     512     357     352     292     304     117.46803741
 295 |   1.757359 | 29  bootybay.map    512     512     177     320     232     352     118.59797974
 299 |   5.857864 | 29  bootybay.map    512     512     93      355     178     317     118.49747467
 303 |  10.544156 | 30  bootybay.map    512     512     372     345     291     314     121.09545441
 307 |   6.443651 | 30  bootybay.map    512     512     297     267     337     373     122.56854248
 310 |   4.686292 | 31  bootybay.map    512     512     233     252     194     347     124.08326111
 318 |   0.585786 | 31  bootybay.map    512     512     153     330     76      323     127.74011536
 326 |   8.786797 | 32  bootybay.map    512     512     368     310     309     330     130.98275604
 328 |   1.757359 | 32  bootybay.map    512     512     211     272     218     398     128.89949493
 330 |   1.171573 | 33  bootybay.map    512     512     363     318     451     360     133.11269836
 333 |   7.615224 | 33  bootybay.map    512     512     307     302     382     386     132.63961029
 337 |   1.171573 | 33  bootybay.map    512     512     300     298     219     336     134.63961029
 338 |   0.585786 | 33  bootybay.map    512     512     160     397     205     292     132.66904755
 340 |   8.786797 | 34  bootybay.map    512     512     363     362     308     275     136.91168823
 349 |   0.585786 | 34  bootybay.map    512     512     301     404     372     305     137.19595947
 354 |   1.757359 | 35  bootybay.map    512     512     362     349     244     367     140.66904755
 356 |   7.615224 | 35  bootybay.map    512     512     350     341     445     315     143.95331879
 360 |   0.585786 | 36  bootybay.map    512     512     354     338     252     353     146.98275604
 363 |   1.171573 | 36  bootybay.map    512     512     420     353     378     282     145.76955261
 368 |   2.928932 | 36  bootybay.map    512     512     352     279     319     338     145.69848480
 370 |   2.343146 | 37  bootybay.map    512     512     297     423     207     313     151.96551208
 376 |   1.171573 | 37  bootybay.map    512     512     450     389     313     356     150.66904755
 386 |   1.171573 | 38  bootybay.map    512     512     367     288     437     394     154.91168823
 394 |   7.029437 | 39  bootybay.map    512     512     226     257     323     353     156.09545441
 402 |   1.757359 | 40  bootybay.map    512     512     327     343     336     262     163.49747467
 404 |   1.757359 | 40  bootybay.map    512     512     172     342     221     271     163.35533905
 408 |   1.757359 | 40  bootybay.map    512     512     235     394     370     342     161.22539673
 415 |   1.757359 | 41  bootybay.map    512     512     79      307     154     308     167.98275604
 419 |   1.171573 | 41  bootybay.map    512     512     364     269     434     358     165.52691193
 437 |   7.615224 | 43  bootybay.map    512     512     296     330     453     370     175.32590179
 444 |   1.171573 | 44  bootybay.map    512     512     448     352     346     282     176.46803741
 452 |   3.514719 | 45  bootybay.map    512     512     277     431     177     323     180.06601715
 454 |   1.171573 | 45  bootybay.map    512     512     153     366     313     344     182.81118317
 457 |   7.615224 | 45  bootybay.map    512     512     357     327     275     270     183.50966797
 458 |   0.585786 | 45  bootybay.map    512     512     154     381     312     337     183.84062042
 463 |   1.171573 | 46  bootybay.map    512     512     444     393     364     264     186.74011536
 467 |   5.857864 | 46  bootybay.map    512     512     283     241     209     395     186.40916290
 468 |   1.757359 | 46  bootybay.map    512     512     97      391     184     252     187.92388153
 471 |   7.615224 | 47  bootybay.map    512     512     446     326     305     329     189.19595947
 473 |   9.372583 | 47  bootybay.map    512     512     360     348     247     275     188.50966797
 475 |   1.171573 | 47  bootybay.map    512     512     433     408     366     255     190.12489166
 486 |   1.757359 | 48  bootybay.map    512     512     77      275     157     314     192.98275604
 498 |   1.171573 | 49  bootybay.map    512     512     463     338     337     283     199.99494934
 508 |   1.171573 | 50  bootybay.map    512     512     364     348     447     243     203.98275604
 511 |   1.757359 | 51  bootybay.map    512     512     70      388     158     249     205.91168823
 519 |   7.615224 | 51  bootybay.map    512     512     428     356     285     283     206.02438660
 521 |   1.757359 | 52  bootybay.map    512     512     183     247     68      363     210.74011536
 523 |   9.372583 | 52  bootybay.map    512     512     249     252     365     337     209.10764770
 524 |   1.757359 | 52  bootybay.map    512     512     64      266     162     312     211.43860016
 529 |   8.786797 | 52  bootybay.map    512     512     277     242     359     329     209.50966797
 532 |   1.757359 | 53  bootybay.map    512     512     351     346     220     313     213.39696960
 533 |   1.171573 | 53  bootybay.map    512     512     368     255     459     401     212.39696960
 534 |   1.171573 | 53  bootybay.map    512     512     366     341     450     241     213.39696960
 538 |   7.615224 | 53  bootybay.map    512     512     381     379     259     236     214.62236633
 552 |   7.615224 | 55  bootybay.map    512     512     382     416     248     259     220.70562744
 553 |   1.757359 | 55  bootybay.map    512     512     97      385     172     220     222.40916290
 555 |   1.171573 | 55  bootybay.map    512     512     466     343     342     261     220.85281372
 561 |   7.615224 | 56  bootybay.map    512     512     217     278     373     391     225.30865784
 566 |   0.585786 | 56  bootybay.map    512     512     170     334     290     265     225.02438660
 568 |   5.857864 | 56  bootybay.map    512     512     280     235     156     398     224.32085113
 569 |   9.958369 | 56  bootybay.map    512     512     369     393     227     241     226.63455963
 570 |   1.757359 | 57  bootybay.map    512     512     329     356     466     273     228.85281372
 575 |   7.615224 | 57  bootybay.map    512     512     265     250     351     307     228.48023071
 578 |   5.857864 | 57  bootybay.map    512     512     166     330     112     240     230.20815277
 579 |   2.928932 | 57  bootybay.map    512     512     165     334     275     234     231.13708496
 581 |   7.615224 | 58  bootybay.map    512     512     409     368     235     279     234.19595947
 582 |   1.171573 | 58  bootybay.map    512     512     415     242     365     328     234.50966797
 583 |   1.171573 | 58  bootybay.map    512     512     463     261     363     307     234.02438660
 584 |   7.029437 | 58  bootybay.map    512     512     379     414     229     262     235.22034607
 585 |   2.343146 | 58  bootybay.map    512     512     156     335     290     293     234.16652222
 586 |   2.343146 | 58  bootybay.map    512     512     359     346     387     239     235.40916290
 590 |   7.615224 | 59  bootybay.map    512     512     449     396     287     277     237.06601715
 594 |   2.928932 | 59  bootybay.map    512     512     466     296     319     314     236.68124084
 602 |   1.171573 | 60  bootybay.map    512     512     351     436     239     243     243.49242401
 603 |   4.686292 | 60  bootybay.map    512     512     126     365     278     235     242.30865784
 604 |   0.585786 | 60  bootybay.map    512     512     175     415     358     325     241.95331879
 610 |   5.857864 | 61  bootybay.map    512     512     121     362     321     318     245.78174591
 612 |   0.585786 | 61  bootybay.map    512     512     204     347     427     399     244.53910522
 613 |   7.615224 | 61  bootybay.map    512     512     294     279     349     248     247.29646454
 614 |   7.615224 | 61  bootybay.map    512     512     461     413     298     286     244.89444427
 619 |   1.757359 | 61  bootybay.map    512     512     417     267     327     345     244.95331879
 620 |   1.171573 | 62  bootybay.map    512     512     456     338     337     233     248.26702728
 623 |   7.615224 | 62  bootybay.map    512     512     276     232     414     392     249.96551208
 630 |   1.757359 | 63  bootybay.map    512     512     167     270     72      266     252.19595947
 636 |   7.615224 | 63  bootybay.map    512     512     266     261     365     271     255.55129852
 637 |   7.615224 | 63  bootybay.map    512     512     369     252     281     276     254.99494934
 651 |   8.786797 | 65  bootybay.map    512     512     238     243     412     405     262.77669525
 659 |   7.615224 | 65  bootybay.map    512     512     435     359     239     282     261.16652222
 665 |   7.615224 | 66  bootybay.map    512     512     259     270     362     262     265.40916290
 670 |   1.171573 | 67  bootybay.map    512     512     443     293     348     236     270.95331879
 671 |   4.100505 | 67  bootybay.map    512     512     152     333     347     450     270.55129852
 674 |   1.757359 | 67  bootybay.map    512     512     156     304     114     224     268.89444427
 678 |   4.100505 | 67  bootybay.map    512     512     87      174     168     350     271.36753235
 686 |   7.615224 | 68  bootybay.map    512     512     273     274     469     329     272.76450195
 687 |   9.372583 | 68  bootybay.map    512     512     286     235     110     403     274.87720032
 689 |   1.171573 | 68  bootybay.map    512     512     86      347     273     249     274.27922058
 691 |   1.171573 | 69  bootybay.map    512     512     430     288     338     267     277.65180359
 692 |   7.615224 | 69  bootybay.map    512     512     458     254     303     319     276.99494934
 698 |   3.514719 | 69  bootybay.map    512     512     115     177     162     345     277.79393921
 700 |   2.343146 | 70  bootybay.map    512     512     173     340     409     399     280.15432892
 701 |   7.615224 | 70  bootybay.map    512     512     274     234     452     378     280.99494934
 702 |   7.615224 | 70  bootybay.map    512     512     290     285     466     292     281.69343414
 709 |   6.443651 | 70  bootybay.map    512     512     458     371     200     330     283.95331879
 713 |   2.343146 | 71  bootybay.map    512     512     163     286     274     226     287.55129852
 714 |   7.615224 | 71  bootybay.map    512     512     324     335     77      333     286.03657989
 718 |   7.615224 | 71  bootybay.map    512     512     433     274     289     295     287.06601715
 719 |   7.615224 | 71  bootybay.map    512     512     266     230     359     269     286.06601715
 722 |   0.585786 | 72  bootybay.map    512     512     352     356     390     183     288.86500702
 724 |   7.615224 | 72  bootybay.map    512     512     369     261     271     235     291.13708496
 728 |   0.585786 | 72  bootybay.map    512     512     373     324     404     192     290.58073578
 733 |   7.615224 | 73  bootybay.map    512     512     449     231     294     325     295.16652222
 734 |   5.272078 | 73  bootybay.map    512     512     432     237     315     311     295.36753235
 743 |   7.615224 | 74  bootybay.map    512     512     227     261     451     392     299.93607483
 747 |   7.615224 | 74  bootybay.map    512     512     456     303     293     252     298.30865784
 748 |   5.857864 | 74  bootybay.map    512     512     280     240     75      393     298.24978332
 756 |   1.171573 | 75  bootybay.map    512     512     321     351     68      310     300.79393921
 759 |   2.343146 | 75  bootybay.map    512     512     315     324     59      355     302.19595947
 760 |   1.171573 | 76  bootybay.map    512     512     395     236     344     281     306.83556976
 761 |   2.928932 | 76  bootybay.map    512     512     73      309     326     346     306.79393921
 762 |   7.615224 | 76  bootybay.map    512     512     449     281     285     267     305.72287140
 763 |   7.615224 | 76  bootybay.map    512     512     227     268     457     400     306.35028839
 764 |   7.615224 | 76  bootybay.map    512     512     421     246     293     306     305.03657989
 767 |   1.171573 | 76  bootybay.map    512     512     415     192     322     348     307.50966797
 771 |   1.757359 | 77  bootybay.map    512     512     172     304     100     184     309.72287140
 774 |   3.916739 | 77  bootybay.map    512     512     224     300     363     260     311.20815277
 775 |   3.514719 | 77  bootybay.map    512     512     345     231     204     342     310.26702728
 776 |   1.171573 | 77  bootybay.map    512     512     373     304     414     190     310.92388153
 777 |  10.544156 | 77  bootybay.map    512     512     454     402     243     231     308.77669525
 778 |   8.786797 | 77  bootybay.map    512     512     64      354     286     236     311.76450195
 781 |   1.171573 | 78  bootybay.map    512     512     364     256     439     225     313.98275604
 784 |   1.171573 | 78  bootybay.map    512     512     461     198     369     288     312.71067810
 794 |   7.615224 | 79  bootybay.map    512     512     344     268     205     287     317.72287140
 796 |   2.343146 | 79  bootybay.map    512     512     173     351     439     332     319.71067810
 800 |   1.171573 | 80  bootybay.map    512     512     340     268     468     225     320.62236633
 806 |   8.201010 | 80  bootybay.map    512     512     248     232     465     324     320.84776306
 808 |   7.615224 | 80  bootybay.map    512     512     215     284     435     317     323.89444427
 817 |   3.514719 | 81  bootybay.map    512     512     86      357     373     330     326.36753235
 821 |   2.343146 | 82  bootybay.map    512     512     454     348     159     343     329.19595947
 823 |   2.343146 | 82  bootybay.map    512     512     93      289     325     347     330.35028839
 825 |   0.585786 | 82  bootybay.map    512     512     180     305     373     304     330.02438660
 829 |   1.757359 | 82  bootybay.map    512     512     168     223     103     260     329.32085113
 830 |   4.100505 | 83  bootybay.map    512     512     403     211     317     311     332.55129852
 835 |   0.585786 | 83  bootybay.map    512     512     54      335     299     293     332.27922058
 840 |   7.615224 | 84  bootybay.map    512     512     273     237     453     284     339.35028839
 845 |   1.171573 | 84  bootybay.map    512     512     157     321     430     432     337.13708496
 848 |   4.686292 | 84  bootybay.map    512     512     373     252     203     295     337.65180359
 849 |   7.615224 | 84  bootybay.map    512     512     407     263     283     260     339.10764770
 851 |   7.615224 | 85  bootybay.map    512     512     269     261     437     257     342.35028839
 855 |   1.171573 | 85  bootybay.map    512     512     440     222     351     236     341.95331879
 861 |   2.928932 | 86  bootybay.map    512     512     358     327     395     141     347.69343414
 863 |   7.615224 | 86  bootybay.map    512     512     438     222     287     286     344.48023071
 866 |   7.615224 | 86  bootybay.map    512     512     446     281     232     275     345.37972565
 868 |   7.615224 | 86  bootybay.map    512     512     349     233     257     212     344.62236633
 869 |   7.615224 | 86  bootybay.map    512     512     217     269     342     225     347.30865784
 874 |   7.615224 | 87  bootybay.map    512     512     459     232     299     270     350.06601715
 875 |   1.171573 | 87  bootybay.map    512     512     362     296     432     154     348.71067810
 891 |   2.343146 | 89  bootybay.map    512     512     290     247     63      288     357.11984100
 893 |   1.757359 | 89  bootybay.map    512     512     143     306     122     141     358.93607483
 895 |   7.615224 | 89  bootybay.map    512     512     231     279     455     274     357.10764770
 898 |   7.615224 | 89  bootybay.map    512     512     471     298     249     220     359.74725799
 900 |   1.757359 | 90  bootybay.map    512     512     361     339     57      310     362.03657989
 911 |   7.615224 | 91  bootybay.map    512     512     235     259     468     273     366.11984100
 915 |   1.171573 | 91  bootybay.map    512     512     363     279     416     158     367.92388153
 917 |   1.757359 | 91  bootybay.map    512     512     365     333     86      306     364.99494934
 919 |   2.343146 | 91  bootybay.map    512     512     370     352     60      298     364.69343414
 922 |   7.615224 | 92  bootybay.map    512     512     419     249     268     251     368.22034607
 927 |   7.615224 | 92  bootybay.map    512     512     437     274     269     218     368.35028839
 928 |   1.757359 | 92  bootybay.map    512     512     81      152     164     264     370.53910522
 930 |   1.757359 | 93  bootybay.map    512     512     170     219     92      213     373.17871551
 932 |   7.029437 | 93  bootybay.map    512     512     312     312     387     181     375.37972565
 935 |   1.171573 | 93  bootybay.map    512     512     400     146     343     299     374.83556976
 937 |   7.615224 | 93  bootybay.map    512     512     279     238     449     243     375.20815277
 939 |   2.343146 | 93  bootybay.map    512     512     156     327     464     317     372.79393921
 947 |   7.615224 | 94  bootybay.map    512     512     442     230     252     269     378.03657989
 958 |   7.615224 | 95  bootybay.map    512     512     220     290     458     266     381.90663757
 964 |   1.757359 | 96  bootybay.map    512     512     70      263     362     358     385.06601715
 966 |   1.171573 | 96  bootybay.map    512     512     347     288     405     144     384.10764770
 969 |   7.615224 | 96  bootybay.map    512     512     402     192     297     286     385.24978332
 978 |   5.857864 | 97  bootybay.map    512     512     408     111     353     343     388.56349182
 980 |   5.272078 | 98  bootybay.map    512     512     202     329     415     242     393.90663757
 981 |   1.171573 | 98  bootybay.map    512     512     414     164     353     252     393.89444427
 982 |   1.757359 | 98  bootybay.map    512     512     77      163     177     238     395.06601715
 988 |   2.343146 | 98  bootybay.map    512     512     286     247     70      245     393.22034607
 991 |   7.615224 | 99  bootybay.map    512     512     253     211     460     262     398.53405456
 995 |   7.615224 | 99  bootybay.map    512     512     290     299     454     158     396.72287140
 996 |   7.615224 | 99  bootybay.map    512     512     430     238     236     291     397.00714264
 998 |   2.928932 | 99  bootybay.map    512     512     316     342     114     227     396.46298675
1003 |   1.757359 | 100 bootybay.map    512     512     151     215     71      199     402.35028839
1006 |   7.615224 | 100 bootybay.map    512     512     232     263     423     235     403.39191894
1016 |   7.615224 | 101 bootybay.map    512     512     433     184     277     267     407.69343414
1029 |   1.757359 | 102 bootybay.map    512     512     125     147     167     250     409.00714264
1033 |   7.615224 | 103 bootybay.map    512     512     214     273     447     231     414.62236633
1048 |   2.928932 | 104 bootybay.map    512     512     174     326     428     265     419.99494934
1051 |   7.615224 | 105 bootybay.map    512     512     295     301     408     138     422.59292908
1057 |   7.615224 | 105 bootybay.map    512     512     393     236     227     286     421.26197662
1061 |   7.615224 | 106 bootybay.map    512     512     429     211     269     229     424.24978332
1065 |   7.615224 | 106 bootybay.map    512     512     443     196     272     236     424.62236633
1074 |   7.615224 | 107 bootybay.map    512     512     281     263     443     158     431.89444427
1077 |   1.171573 | 107 bootybay.map    512     512     412     258     172     324     429.33809509
1078 |   7.615224 | 107 bootybay.map    512     512     403     136     294     298     430.07821045
1080 |   7.615224 | 108 bootybay.map    512     512     405     201     245     256     434.74725799
1082 |   0.585786 | 108 bootybay.map    512     512     457     234     162     343     434.40916290
1088 |   2.928932 | 108 bootybay.map    512     512     156     349     471     238     432.69343414
1098 |   3.514719 | 109 bootybay.map    512     512     431     181     205     339     437.03657989
1100 |   7.615224 | 110 bootybay.map    512     512     247     273     398     187     442.60512237
1113 |   7.615224 | 111 bootybay.map    512     512     247     269     437     169     446.10764770
1114 |   7.615224 | 111 bootybay.map    512     512     253     249     387     192     446.68838348
1122 |   2.928932 | 112 bootybay.map    512     512     372     341     76      217     449.72287140
1124 |   1.757359 | 112 bootybay.map    512     512     208     304     452     199     451.55129852
1133 |   7.615224 | 113 bootybay.map    512     512     211     276     433     194     455.86500702
1134 |   7.615224 | 113 bootybay.map    512     512     410     159     284     251     455.32085113
1143 |   2.343146 | 114 bootybay.map    512     512     454     208     173     344     456.92388153
1151 |   7.615224 | 115 bootybay.map    512     512     390     173     278     249     461.70562744
1155 |   1.757359 | 115 bootybay.map    512     512     364     332     95      221     460.20815277
1156 |   1.171573 | 115 bootybay.map    512     512     201     350     419     168     460.10764770
1168 |   1.171573 | 116 bootybay.map    512     512     409     106     340     275     467.36248169
1176 |   7.615224 | 117 bootybay.map    512     512     421     181     266     218     469.22034607
1186 |   7.615224 | 118 bootybay.map    512     512     258     234     446     156     473.66399689
1188 |   7.029437 | 118 bootybay.map    512     512     282     239     73      161     475.29141388
1193 |   0.585786 | 119 bootybay.map    512     512     210     318     441     153     479.82337646
1196 |   4.100505 | 119 bootybay.map    512     512     289     244     81      163     478.22034607
1205 |   7.615224 | 120 bootybay.map    512     512     420     145     271     241     480.56349182
1208 |   1.171573 | 120 bootybay.map    512     512     171     351     444     172     480.95331879
1210 |   3.514719 | 121 bootybay.map    512     512     433     174     157     352     485.82337646
1214 |   4.100505 | 121 bootybay.map    512     512     77      152     286     244     484.56349182
1222 |   7.615224 | 122 bootybay.map    512     512     258     207     457     173     488.22034607
1226 |   7.615224 | 122 bootybay.map    512     512     287     291     406     115     488.26197662
1228 |   7.615224 | 122 bootybay.map    512     512     388     157     242     270     490.60512237
1229 |   0.585786 | 122 bootybay.map    512     512     90      177     354     340     489.06601715
1230 |   8.786797 | 123 bootybay.map    512     512     237     243     431     145     493.36248169
1242 |   1.757359 | 124 bootybay.map    512     512     361     323     103     193     497.52186127
1248 |   7.615224 | 124 bootybay.map    512     512     245     248     399     144     497.54624786
1249 |   4.100505 | 124 bootybay.map    512     512     176     328     390     203     496.56349182
1250 |   2.343146 | 125 bootybay.map    512     512     158     349     425     165     500.72287140
1262 |   0.585786 | 126 bootybay.map    512     512     99      147     358     359     504.62236633
1266 |   5.230447 | 126 bootybay.map    512     512     423     152     212     293     507.22034607
1269 |   7.615224 | 126 bootybay.map    512     512     406     131     238     281     504.29141388
1275 |   5.857864 | 127 bootybay.map    512     512     321     328     127     134     510.91883087
1287 |   7.615224 | 128 bootybay.map    512     512     249     215     442     139     512.56349182
1298 |   1.171573 | 129 bootybay.map    512     512     98      140     307     294     519.63455963
1308 |   8.201010 | 130 bootybay.map    512     512     204     286     390     158     522.23253937
1319 |   7.029437 | 131 bootybay.map    512     512     323     325     129     123     526.57568512
1341 |   7.615224 | 134 bootybay.map    512     512     387     127     233     255     537.88939361
1350 |   1.757359 | 135 bootybay.map    512     512     371     318     120     173     542.87720032
1356 |   7.615224 | 135 bootybay.map    512     512     256     205     406     131     542.57568512
1373 |   1.757359 | 137 bootybay.map    512     512     127     134     360     340     549.04877319
1393 |   1.757359 | 139 bootybay.map    512     512     362     334     122     128     559.80613251
1463 |   2.928932 | 146 bootybay.map    512     512     394     112     174     341     587.14927826
1501 |   5.857864 | 150 bootybay.map    512     512     326     341     67      104     600.61731567
1506 |  11.129942 | 150 bootybay.map    512     512     242     220     418     96      601.87214966
